common_name,species_name,nsites,ntecs
Prairie Grass,Bromus catharticus,12,7
Whiskey Grass,Andropogon virginicus,8,4
Coolatai Grass,Hyparrhenia hirta,10,4
Parramatta grass,Sporobolus africanus,39,7
Giant Parramatta Grass,Sporobolus fertilis,3,2
Carpet Grass,Axonopus fissifolius,14,5
Pigeon Grass,Setaria parviflora,23,6
Broadleaf paspalum,Paspalum mandiocanum,6,2
Serrated tussock,Nassella trichotoma,16,4
Vasey Grass,Paspalum urvillei,5,1
Panic Veldt Grass,Ehrharta erecta,12,3
Phalaris,Phalaris aquatica,26,6
Sweet Vernal Grass,Anthoxanthum odoratum,23,6
Yorkshire Fog,Holcus lanatus,18,7
Cocksfoot,Dactylis glomerata,26,7
Chilean needle grass,Nassella neesiana,7,1
Common Paspalum,Paspalum dilatatum,55,8
Kikuyu,Cenchrus clandestinus,24,5
Rhodes Grass,Chloris gayana,14,3
African lovegrass,Eragrostis curvula,36,6
